iter	RMSE
0	8.778944159
1	8.590359939
2	8.43625031
3	8.264563915
4	8.10861184
5	7.963645486
6	7.820417273
7	7.68320444
8	7.534075473
9	7.391631716
10	7.257011281
11	7.106072577
12	6.981286259
13	6.862560738
14	6.740668494
15	6.598143609
16	6.475381997
17	6.344918249
18	6.225590379
19	6.111075686
20	6.007613262
21	5.891560656
22	5.781731636
23	5.696341137
24	5.598477131
25	5.502313783
26	5.405203119
27	5.311960426
28	5.23334073
29	5.136141375
30	5.049402764
31	4.976693489
32	4.889077061
33	4.826074245
34	4.736291224
35	4.656415347
36	4.593622414
37	4.509827886
38	4.440455981
39	4.373384975
40	4.306259068
41	4.244086604
42	4.18595015
43	4.125004569
44	4.05734517
45	4.002451426
46	3.945939373
47	3.884265313
48	3.829388913
49	3.773118784
50	3.710401391
51	3.652843542
52	3.612223725
53	3.560416222
54	3.503078017
55	3.460956393
56	3.405654079
57	3.357229398
58	3.309716181
59	3.269078426
60	3.235129963
61	3.189350687
62	3.145124455
63	3.100064542
64	3.059691665
65	3.020748781
66	2.972608497
67	2.93724196
68	2.897313648
69	2.86405381
70	2.832550863
71	2.801910525
72	2.761717354
73	2.734412324
74	2.711572381
75	2.6818747
76	2.655396849
77	2.621011715
78	2.591381255
79	2.560827899
80	2.52818985
81	2.496222844
82	2.464968556
83	2.43655496
84	2.408032944
85	2.374076993
86	2.348849029
87	2.323443618
88	2.300015231
89	2.277505085
90	2.252973633
91	2.228591439
92	2.205681025
93	2.189742887
94	2.17251065
95	2.153710063
96	2.132003997
97	2.110263232
98	2.088623427
99	2.072134271
100	2.045472497
101	2.021070779
102	2.008177546
103	1.988514124
104	1.96389902
105	1.945329727
106	1.924155732
107	1.905395062
108	1.886528367
109	1.868030857
110	1.852972515
111	1.830688432
112	1.811051622
113	1.799851744
114	1.782404386
115	1.764228707
116	1.748528168
117	1.732042336
118	1.715951078
119	1.699145124
120	1.680693583
121	1.666052379
122	1.656821017
123	1.639949411
124	1.630092875
125	1.617612326
126	1.602635156
127	1.583206889
128	1.567655901
129	1.551902287
130	1.538874092
131	1.525450337
132	1.513688698
133	1.502815697
134	1.48987259
135	1.477345293
136	1.466986804
137	1.455376383
138	1.443324294
139	1.429342035
140	1.416952978
141	1.403345037
142	1.390788043
143	1.377800433
144	1.368756395
145	1.360515866
146	1.34799975
147	1.337098387
148	1.327085806
149	1.316123948
150	1.305106688
151	1.296107694
152	1.286163565
153	1.277508789
154	1.264484934
155	1.256400461
156	1.24863245
157	1.236024703
158	1.224371134
159	1.217702555
160	1.210517714
161	1.201924562
162	1.192906098
163	1.186507991
164	1.178267128
165	1.167644026
166	1.158984477
167	1.148387462
168	1.140329335
169	1.131928598
170	1.125273093
171	1.118701733
172	1.11199723
173	1.102831604
174	1.096061119
175	1.089400709
176	1.083261484
177	1.075443685
178	1.067689019
179	1.061283932
180	1.05267646
181	1.046023466
182	1.037666327
183	1.032269451
184	1.024605261
185	1.019385817
186	1.011165903
187	1.003503809
188	0.9963336993
189	0.9897679148
190	0.9824700704
191	0.9766874099
192	0.9724543634
193	0.9647220408
194	0.9574664394
195	0.9532365165
196	0.9466930096
197	0.9412558882
198	0.9357698925
199	0.9301281415
200	0.9258797073
201	0.920273481
202	0.9149417484
203	0.9109488436
204	0.9048029917
205	0.8991889945
206	0.8955779865
207	0.8918595793
208	0.8864351775
209	0.8827766995
210	0.8780344036
211	0.8726365632
212	0.8671377068
213	0.8614925917
214	0.8558960709
215	0.8521303652
216	0.8489033038
217	0.8443436183
218	0.8386429574
219	0.8352495198
220	0.8297978796
221	0.8265765688
222	0.8239252428
223	0.8210419921
224	0.8156222601
225	0.810649781
226	0.8067357936
227	0.8017066557
228	0.7958797338
229	0.7913392179
230	0.7853214237
231	0.7829794952
232	0.7798654392
233	0.7751781536
234	0.7701072349
235	0.7659231143
236	0.762402316
237	0.7586044526
238	0.7559858777
239	0.7521491468
240	0.7467745937
241	0.7430649612
242	0.7400431381
243	0.7349387351
244	0.7315849964
245	0.7289631724
246	0.7253265413
247	0.7212812745
248	0.7172609668
249	0.7147356264
250	0.7129477857
