iter	Passed	Remaining
0	0	329
1	0	290
2	0	272
3	1	276
4	1	267
5	1	266
6	1	263
7	2	259
8	2	259
9	2	254
10	2	253
11	3	251
12	3	248
13	3	246
14	3	244
15	3	243
16	4	241
17	4	241
18	4	240
19	4	240
20	5	240
21	5	240
22	5	240
23	5	239
24	6	239
25	6	239
26	6	239
27	6	238
28	7	238
29	7	238
30	7	238
31	7	238
32	8	236
33	8	236
34	8	236
35	8	235
36	9	234
37	9	233
38	9	234
39	9	234
40	9	233
41	10	232
42	10	232
43	10	232
44	10	232
45	11	232
46	11	232
47	11	232
48	11	232
49	12	232
50	12	231
51	12	231
52	12	231
53	13	231
54	13	231
55	13	231
56	14	232
57	14	232
58	14	232
59	14	234
60	15	234
61	15	234
62	15	233
63	15	232
64	16	231
65	16	231
66	16	230
67	16	231
68	17	230
69	17	231
70	17	230
71	17	230
72	18	230
73	18	230
74	18	230
75	18	229
76	19	229
77	19	229
78	19	228
79	19	228
80	20	228
81	20	227
82	20	227
83	20	227
84	21	226
85	21	226
86	21	226
87	21	226
88	22	226
89	22	225
90	22	225
91	22	225
92	23	225
93	23	224
94	23	224
95	23	224
96	24	223
97	24	223
98	24	223
99	24	223
100	25	222
101	25	222
102	25	222
103	25	221
104	25	221
105	26	221
106	26	220
107	26	220
108	26	220
109	27	220
110	27	219
111	27	219
112	27	219
113	28	219
114	28	219
115	28	218
116	28	218
117	29	218
118	29	218
119	29	218
120	30	218
121	30	217
122	30	217
123	30	216
124	30	216
125	31	216
126	31	215
127	31	215
128	31	215
129	32	215
130	32	214
131	32	214
132	32	214
133	33	214
134	33	214
135	33	213
136	33	213
137	34	213
138	34	212
139	34	212
140	34	212
141	35	212
142	35	211
143	35	211
144	35	211
145	36	211
146	36	211
147	36	210
148	36	210
149	37	210
150	37	209
151	37	210
152	37	209
153	38	209
154	38	209
155	38	209
156	38	209
157	39	209
158	39	208
159	39	208
160	40	208
161	40	208
162	40	208
163	40	208
164	41	207
165	41	207
166	41	207
167	41	206
168	41	206
169	42	206
170	42	205
171	42	205
172	42	205
173	43	205
174	43	204
175	43	204
176	43	204
177	44	204
178	44	203
179	44	203
180	44	203
181	45	203
182	45	202
183	45	202
184	45	202
185	46	201
186	46	201
187	46	201
188	46	201
189	47	200
190	47	200
191	47	200
192	47	199
193	48	199
194	48	199
195	48	198
196	48	198
197	49	198
198	49	198
199	49	198
200	49	197
201	49	197
202	50	197
203	50	196
204	50	196
205	50	196
206	51	196
207	51	195
208	51	195
209	51	195
210	52	195
211	52	195
212	52	195
213	53	194
214	53	194
215	53	194
216	53	194
217	54	194
218	54	194
219	54	193
220	54	193
221	55	193
222	55	193
223	55	192
224	55	192
225	56	192
226	56	191
227	56	191
228	56	191
229	57	191
230	57	190
231	57	190
232	57	190
233	58	190
234	58	189
235	58	189
236	58	189
237	59	189
238	59	188
239	59	188
240	59	188
241	60	188
242	60	188
243	60	188
244	60	187
245	61	187
246	61	187
247	61	187
248	62	187
249	62	186
250	62	186
251	62	186
252	63	186
253	63	185
254	63	185
255	63	185
256	63	184
257	64	184
258	64	184
259	64	184
260	64	183
261	65	183
262	65	183
263	65	183
264	65	182
265	66	182
266	66	182
267	66	182
268	66	181
269	67	181
270	68	183
271	68	182
272	68	182
273	68	182
274	69	181
275	69	181
276	69	181
277	69	181
278	70	180
279	70	180
280	70	180
281	70	180
282	70	179
283	71	179
284	71	179
285	71	179
286	72	179
287	72	178
288	72	178
289	72	178
290	73	177
291	73	177
292	73	177
293	73	177
294	74	177
295	74	176
296	74	176
297	74	176
298	75	176
299	75	175
300	75	175
301	75	175
302	76	175
303	76	174
304	76	174
305	76	174
306	76	173
307	77	173
308	77	173
309	77	172
310	77	172
311	78	172
312	78	172
313	78	171
314	78	171
315	79	171
316	79	170
317	79	170
318	79	170
319	80	170
320	80	169
321	80	169
322	80	169
323	81	169
324	81	168
325	81	168
326	81	168
327	82	168
328	82	167
329	82	167
330	82	167
331	83	167
332	83	166
333	83	166
334	83	166
335	84	166
336	84	165
337	84	165
338	84	165
339	84	164
340	85	164
341	85	164
342	85	164
343	85	163
344	86	163
345	86	163
346	86	163
347	87	163
348	87	162
349	87	162
350	87	162
351	87	161
352	88	161
353	88	161
354	88	161
355	88	160
356	89	160
357	89	160
358	89	160
359	89	159
360	90	159
361	90	159
362	90	159
363	90	158
364	91	158
365	91	158
366	91	158
367	92	159
368	93	159
369	93	158
370	93	158
371	93	158
372	94	158
373	94	157
374	94	157
375	94	157
376	95	157
377	95	156
378	95	156
379	95	156
380	96	156
381	96	155
382	96	155
383	96	155
384	97	155
385	97	154
386	97	154
387	97	154
388	98	154
389	98	153
390	98	153
391	98	153
392	99	153
393	99	152
394	99	152
395	100	152
396	100	152
397	100	151
398	100	151
399	100	151
400	101	151
401	101	150
402	101	150
403	101	150
404	102	150
405	102	150
406	102	149
407	103	149
408	103	149
409	103	149
410	103	148
411	104	148
412	104	148
413	104	148
414	104	147
415	105	147
416	105	147
417	105	147
418	105	146
419	106	146
420	106	146
421	106	145
422	106	145
423	107	145
424	107	145
425	107	145
426	107	144
427	108	144
428	108	144
429	108	143
430	108	143
431	109	143
432	109	143
433	109	142
434	109	142
435	110	142
436	110	142
437	110	141
438	110	141
439	110	141
440	111	140
441	111	140
442	111	140
443	111	140
444	112	139
445	112	139
446	112	139
447	112	139
448	113	138
449	113	138
450	113	138
451	113	138
452	114	137
453	114	137
454	114	137
455	114	137
456	115	136
457	115	136
458	115	136
459	115	136
460	116	135
461	116	135
462	116	135
463	116	135
464	117	134
465	117	134
466	117	134
467	117	134
468	118	133
469	118	133
470	118	133
471	118	133
472	119	132
473	119	132
474	119	132
475	119	132
476	120	131
477	120	131
478	120	131
479	120	131
480	121	130
481	121	130
482	121	130
483	121	129
484	122	129
485	122	129
486	122	129
487	122	129
488	123	128
489	123	128
490	123	128
491	123	128
492	124	127
493	124	127
494	124	127
495	124	126
496	125	126
497	125	126
498	125	126
499	125	125
500	126	125
501	126	125
502	126	125
503	126	124
504	127	124
505	127	124
506	127	123
507	127	123
508	127	123
509	128	123
510	128	122
511	128	122
512	128	122
513	129	122
514	129	121
515	129	121
516	129	121
517	130	121
518	130	120
519	130	120
520	130	120
521	131	120
522	131	119
523	131	119
524	131	119
525	132	119
526	132	118
527	132	118
528	132	118
529	133	118
530	133	117
531	133	117
532	133	117
533	134	116
534	134	116
535	134	116
536	134	116
537	135	115
538	135	115
539	135	115
540	135	115
541	136	114
542	136	114
543	136	114
544	136	114
545	136	113
546	137	113
547	137	113
548	137	113
549	138	112
550	138	112
551	138	112
552	138	112
553	139	112
554	139	111
555	139	111
556	139	111
557	140	110
558	140	110
559	140	110
560	140	110
561	140	109
562	141	109
563	141	109
564	141	109
565	142	108
566	142	108
567	142	108
568	142	108
569	142	107
570	143	107
571	143	107
572	143	107
573	143	106
574	144	106
575	144	106
576	144	106
577	145	105
578	145	105
579	145	105
580	145	105
581	146	104
582	146	104
583	146	104
584	146	104
585	146	103
586	147	103
587	147	103
588	147	103
589	147	102
590	148	102
591	148	102
592	148	102
593	148	101
594	149	101
595	149	101
596	149	101
597	149	100
598	150	100
599	150	100
600	150	99
601	150	99
602	151	99
603	151	99
604	151	98
605	151	98
606	152	98
607	152	98
608	152	97
609	152	97
610	153	97
611	153	97
612	153	96
613	153	96
614	154	96
615	154	96
616	154	95
617	154	95
618	154	95
619	155	95
620	155	94
621	155	94
622	155	94
623	156	94
624	156	93
625	156	93
626	156	93
627	157	93
628	157	92
629	157	92
630	157	92
631	157	91
632	158	91
633	158	91
634	158	91
635	158	90
636	158	90
637	159	90
638	159	90
639	159	89
640	159	89
641	160	89
642	160	89
643	160	88
644	160	88
645	161	88
646	161	88
647	161	87
648	161	87
649	162	87
650	162	87
651	162	86
652	162	86
653	163	86
654	163	86
655	163	85
656	163	85
657	164	85
658	164	85
659	164	84
660	164	84
661	165	84
662	165	84
663	165	83
664	165	83
665	166	83
666	166	83
667	166	82
668	166	82
669	166	82
670	167	81
671	167	81
672	167	81
673	167	81
674	168	80
675	168	80
676	168	80
677	168	80
678	169	80
679	169	79
680	169	79
681	169	79
682	170	78
683	170	78
684	170	78
685	170	78
686	171	77
687	171	77
688	171	77
689	171	77
690	171	76
691	172	76
692	172	76
693	172	76
694	172	75
695	173	75
696	173	75
697	173	75
698	173	74
699	174	74
700	174	74
701	174	74
702	174	73
