"AVERAGE_DEW_POINT_F___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_RELATIVE_HUMIDITY_____FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_SEA_LEVEL_PRESSURE_MILLIBARS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_VISIBILITY_KILOMETERS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_WIND_SPEED_KNOTS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","CITY_LOCATION_IDENTIFIER__UP_TO_9_ALPHANUMERIC_CHARACTERS_","COOLING_DEGREE_DAYS_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","HEATING_DEGREE_DAYS_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","MAXIMUM_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","MINIMUM_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","PRECIPITATION_INTEGER_IN_HUNDREDTHS_OF_A_MILLIMETER___LIQUID_EQUIVALENT____0__IS_USED_FOR_TRACE_AMOUNTS_AND___1__IS_USED_FOR_NO_PRECIPITATION","VALID_DATE_AS_YYYYMMDD"
13.16,69.9164,1018,19.45,14.9581,5.99,"KIPT",1.1088,0,23.2,16.4,198,"2020-09-13"
15.76,75.1797,1018.98,20.85,14.5425,3.726,"KDYA",2.8032,0,26.61,16.89,4,"2021-10-22"
10.72,34.65,1010.55,30.1,15.1488,7.029,"KOLS",11.3199,0,38.6,22.2,-1,"2020-08-23"
2.01,55.6614,1009.52,13.94,16.261,6.471,"KAFF",0,4.39,25.11,3.78,22.5,"2023-10-03"
17.41,88.577,1015.74,21.95,15.147,3.99,"KDED",3.1872,0,31.1,12.3,-1,"2020-04-05"
8.06,89.44,1018.68,10.9,8.721,2.781,"KPHT",0,7.5499,15,7.1,92.7,"2024-03-02"
9.06,63.18,1009.85,17.09,16.422,11.87,"KLIT",0,1.1172,20.91,13.68,-1,"2023-01-16"
-7.74,48.5397,1014.61,2.04,16.422,8.172,"KSNY",0,17.2095,10.1,-5.91,-1,"2024-02-13"
-5.83,89.2188,1009.18,-3.8,16.583,6.48,"K08D",0,20.9568,3.1,-10.5,-1,"2021-02-20"
-5.17,61.8721,1010.87,2.3,16.744,4.221,"K1V6",0,15.9883,10.7,-5.6,-1,"2021-02-20"
12.21,65.8614,1021.62,19.46,0,2.43,"K28J",1.5504,0,27.9,12.41,46,"2021-02-26"
-13.57,67.7431,1024.4,-7.1,15.7806,7.029,"K4BL",0,26.0883,1.52,-17.22,-1,"2021-02-18"
