date,market,heat_distance_bucket,allocated_visitor_count,n_brands
2020-01-01,Dallas,0-1km,84.5,1
2020-01-01,Dallas,1-2km,1640.0,2
2020-01-01,Dallas,2-3km,594.5,2
2020-01-01,Dallas,3-5km,510.0,1
2020-01-01,Houston,0-1km,594.5,2
2020-01-01,Houston,1-2km,679.0,2
2020-01-01,Houston,2-3km,1471.0,1
2020-01-01,Houston,3-5km,145.0,1
2020-01-01,Houston,5km+,84.5,1
2020-01-02,Dallas,0-1km,4796.1,4
2020-01-02,Dallas,1-2km,1201.9,2
2020-01-02,Houston,0-1km,3133.0,2
2020-01-02,Houston,2-3km,618.0,1
2020-01-02,Houston,3-5km,1730.0,2
2020-01-02,Houston,5km+,2656.0,2
2020-01-03,Dallas,0-1km,3112.5,1
2020-01-03,Dallas,1-2km,3112.5,1
2020-01-03,Houston,0-1km,4668.75,1
2020-01-03,Houston,5km+,1556.25,1
2020-01-04,Dallas,0-1km,7192.5,4
2020-01-04,Dallas,1-2km,2682.5,3
2020-01-04,Dallas,2-3km,447.0,1
2020-01-04,Houston,0-1km,2490.245454545455,3
2020-01-04,Houston,1-2km,1750.3090909090909,3
2020-01-04,Houston,2-3km,527.2727272727273,1
2020-01-04,Houston,3-5km,616.6727272727272,2
2020-01-04,Houston,5km+,2037.5,2
2020-01-05,Dallas,0-1km,1947.5,1
2020-01-05,Dallas,1-2km,1947.5,1
2020-01-05,Houston,0-1km,3138.25,2
2020-01-05,Houston,1-2km,217.0,1
2020-01-05,Houston,2-3km,217.0,1
2020-01-05,Houston,5km+,973.75,1
2020-01-06,Dallas,0-1km,2132.5,2
2020-01-06,Dallas,1-2km,1325.5,2
2020-01-06,Houston,0-1km,1210.5,1
2020-01-06,Houston,5km+,1210.5,1
2020-01-07,Houston,0-1km,1931.6,2
2020-01-07,Houston,1-2km,293.2,1
2020-01-07,Houston,3-5km,293.2,1
2020-01-08,Dallas,0-1km,2239.333333333333,3
2020-01-08,Dallas,1-2km,1107.6666666666665,2
2020-01-08,Houston,0-1km,1579.2,3
2020-01-08,Houston,1-2km,543.6,2
2020-01-08,Houston,3-5km,281.0,1
2020-01-08,Houston,5km+,1579.2,3
2020-01-09,Dallas,0-1km,1245.5,2
2020-01-09,Dallas,1-2km,2232.0,1
2020-01-09,Dallas,2-3km,3730.5,3
2020-01-09,Dallas,3-5km,1546.0,1
2020-01-09,Houston,0-1km,3768.3,4
2020-01-09,Houston,1-2km,1546.0,1
2020-01-09,Houston,2-3km,868.0,1
2020-01-09,Houston,3-5km,1809.95,3
2020-01-09,Houston,5km+,761.75,2
2020-01-10,Dallas,2-3km,3046.0,1
2020-01-10,Houston,1-2km,3046.0,1
2020-01-11,Dallas,0-1km,152.0,1
2020-01-11,Dallas,1-2km,304.0,1
2020-01-11,Dallas,2-3km,4741.0,2
2020-01-11,Houston,0-1km,5040.666666666667,3
2020-01-11,Houston,1-2km,603.6666666666667,2
2020-01-11,Houston,5km+,451.6666666666667,2
2020-01-12,Dallas,0-1km,47.5,1
2020-01-12,Dallas,1-2km,963.5,2
2020-01-12,Houston,1-2km,1011.0,2
2020-01-12,Houston,3-5km,291.0,1
2020-01-13,Dallas,0-1km,8449.833333333334,3
2020-01-13,Dallas,1-2km,227.83333333333334,2
2020-01-13,Dallas,2-3km,153.33333333333334,1
2020-01-13,Houston,0-1km,153.33333333333334,1
2020-01-13,Houston,1-2km,153.33333333333334,1
2020-01-13,Houston,5km+,153.33333333333334,1
2020-01-14,Dallas,0-1km,750.75,2
2020-01-14,Dallas,1-2km,333.0,1
2020-01-14,Dallas,2-3km,361.25,2
2020-01-14,Houston,0-1km,5936.5,2
2020-01-14,Houston,1-2km,333.0,1
2020-01-14,Houston,5km+,166.5,1
2020-01-15,Dallas,0-1km,1163.3333333333333,3
2020-01-15,Dallas,1-2km,745.3333333333333,2
2020-01-15,Dallas,2-3km,366.3333333333333,1
2020-01-15,Houston,0-1km,1420.0333333333333,3
2020-01-15,Houston,1-2km,1202.6833333333334,4
2020-01-15,Houston,2-3km,483.75,2
2020-01-15,Houston,5km+,870.5333333333333,2
2020-01-16,Dallas,0-1km,367.66666666666663,2
2020-01-16,Dallas,1-2km,172.66666666666666,1
2020-01-16,Dallas,2-3km,172.66666666666666,1
2020-01-16,Houston,0-1km,172.66666666666666,1
2020-01-16,Houston,1-2km,270.16666666666663,2
2020-01-16,Houston,2-3km,97.5,1
2020-01-16,Houston,5km+,172.66666666666666,1
2020-01-17,Dallas,0-1km,2880.8,2
2020-01-17,Dallas,1-2km,346.2,1
2020-01-17,Houston,0-1km,865.5,1
2020-01-17,Houston,1-2km,748.0,1
2020-01-17,Houston,2-3km,1180.75,2
2020-01-17,Houston,3-5km,585.0,1
2020-01-17,Houston,5km+,432.75,1
2020-01-18,Dallas,0-1km,734.0,1
2020-01-18,Houston,0-1km,113.4,1
2020-01-18,Houston,1-2km,593.8,2
2020-01-18,Houston,2-3km,367.0,1
2020-01-18,Houston,3-5km,977.8,2
2020-01-20,Dallas,0-1km,326.33333333333337,2
2020-01-20,Dallas,1-2km,478.33333333333337,2
2020-01-20,Dallas,2-3km,326.33333333333337,2
2020-01-20,Houston,0-1km,2620.3333333333335,4
2020-01-20,Houston,1-2km,304.0,1
2020-01-20,Houston,3-5km,858.3333333333334,2
2020-01-20,Houston,5km+,326.33333333333337,2
2020-01-21,Dallas,0-1km,2434.1130952380954,4
2020-01-21,Dallas,1-2km,2961.8869047619046,4
2020-01-21,Houston,0-1km,1908.878787878788,3
2020-01-21,Houston,1-2km,175.9090909090909,1
2020-01-21,Houston,2-3km,874.6060606060606,2
2020-01-21,Houston,3-5km,495.93939393939394,2
2020-01-21,Houston,5km+,1295.6666666666667,2
2020-01-22,Dallas,0-1km,1157.8333333333335,2
2020-01-22,Dallas,1-2km,1983.1666666666667,2
2020-01-22,Houston,0-1km,1152.6666666666667,3
2020-01-22,Houston,1-2km,1845.0,3
2020-01-22,Houston,2-3km,61.333333333333336,1
2020-01-22,Houston,3-5km,349.0,1
2020-01-22,Houston,5km+,266.0,1
2020-01-24,Dallas,0-1km,50.0,1
2020-01-24,Dallas,1-2km,233.0,2
2020-01-24,Dallas,2-3km,50.0,1
2020-01-24,Houston,0-1km,370.4,3
2020-01-24,Houston,1-2km,340.8,1
2020-01-24,Houston,3-5km,390.8,2
2020-01-24,Houston,5km+,50.0,1
2020-01-25,Dallas,0-1km,5701.166666666667,3
2020-01-25,Dallas,1-2km,3282.1666666666665,2
2020-01-25,Dallas,2-3km,209.66666666666666,1
2020-01-25,Houston,0-1km,4818.416666666667,2
2020-01-25,Houston,1-2km,1419.1666666666667,2
2020-01-25,Houston,2-3km,1209.5,1
2020-01-25,Houston,3-5km,251.0,1
2020-01-25,Houston,5km+,7277.916666666667,3
2020-01-26,Dallas,0-1km,3230.833333333333,3
2020-01-26,Dallas,1-2km,681.6666666666666,1
2020-01-26,Dallas,2-3km,1414.5,2
2020-01-26,Houston,0-1km,3202.0666666666666,3
2020-01-26,Houston,1-2km,206.66666666666666,1
2020-01-26,Houston,2-3km,206.66666666666666,1
2020-01-26,Houston,3-5km,1425.6,1
2020-01-27,Dallas,0-1km,640.5,1
2020-01-27,Dallas,1-2km,640.5,1
2020-01-27,Houston,0-1km,91.33333333333333,1
2020-01-27,Houston,1-2km,391.3333333333333,2
2020-01-27,Houston,5km+,91.33333333333333,1
2020-01-28,Dallas,2-3km,933.0,1
2020-01-28,Houston,0-1km,631.8333333333334,2
2020-01-28,Houston,1-2km,165.33333333333334,1
2020-01-28,Houston,3-5km,233.25,1
2020-01-28,Houston,5km+,398.58333333333337,2
2020-01-29,Dallas,0-1km,851.5,1
2020-01-29,Dallas,1-2km,851.5,1
2020-01-29,Dallas,2-3km,1592.0,3
2020-01-29,Dallas,3-5km,747.0,1
2020-01-29,Houston,0-1km,2093.866666666667,5
2020-01-29,Houston,1-2km,1351.2666666666667,4
2020-01-29,Houston,2-3km,222.66666666666666,2
2020-01-29,Houston,3-5km,121.0,1
2020-01-29,Houston,5km+,681.2,1
2020-01-30,Dallas,0-1km,2801.0,2
2020-01-30,Dallas,1-2km,1049.0,1
2020-01-30,Houston,0-1km,1573.5,1
2020-01-30,Houston,1-2km,351.5,1
2020-01-30,Houston,2-3km,351.5,1
2020-01-30,Houston,5km+,1573.5,1
2020-01-31,Dallas,0-1km,15453.857142857143,3
2020-01-31,Dallas,1-2km,1348.142857142857,2
2020-01-31,Houston,0-1km,745.8666666666667,2
2020-01-31,Houston,1-2km,215.6,1
2020-01-31,Houston,2-3km,314.6666666666667,1
2020-01-31,Houston,3-5km,157.33333333333334,1
2020-01-31,Houston,5km+,588.5333333333333,2
2020-02-01,Dallas,0-1km,208.0,1
2020-02-01,Dallas,1-2km,1248.0,1
2020-02-01,Houston,0-1km,855.0,2
2020-02-01,Houston,1-2km,369.6666666666667,1
2020-02-01,Houston,2-3km,855.0,2
2020-02-01,Houston,3-5km,617.6666666666666,2
2020-02-01,Houston,5km+,242.66666666666666,1
2020-02-02,Dallas,0-1km,2059.0,1
2020-02-02,Houston,0-1km,2297.0,1
2020-02-02,Houston,2-3km,3367.5,2
2020-02-02,Houston,3-5km,1029.5,1
2020-02-03,Dallas,0-1km,2432.8,1
2020-02-03,Dallas,1-2km,608.2,1
2020-02-03,Houston,0-1km,1599.8333333333333,2
2020-02-03,Houston,1-2km,79.33333333333333,1
2020-02-03,Houston,2-3km,839.5833333333334,2
2020-02-03,Houston,5km+,760.25,1
2020-02-04,Dallas,0-1km,1276.3333333333335,2
2020-02-04,Dallas,1-2km,1286.6666666666667,1
2020-02-04,Dallas,2-3km,633.0,1
2020-02-04,Houston,0-1km,1149.7333333333333,2
2020-02-04,Houston,1-2km,1286.6666666666667,1
2020-02-04,Houston,3-5km,759.6,1
2020-02-06,Dallas,0-1km,1144.7142857142858,2
2020-02-06,Dallas,1-2km,2116.285714285714,1
2020-02-06,Houston,0-1km,1225.0,2
2020-02-06,Houston,1-2km,798.0,2
2020-02-06,Houston,2-3km,1219.0,2
2020-02-06,Houston,3-5km,750.5,2
2020-02-06,Houston,5km+,813.5,2
2020-02-07,Dallas,0-1km,1160.2857142857142,2
2020-02-07,Dallas,1-2km,3751.714285714286,1
2020-02-07,Dallas,2-3km,2441.0,1
2020-02-07,Houston,0-1km,1810.6666666666667,2
2020-02-07,Houston,1-2km,3060.166666666667,3
2020-02-07,Houston,2-3km,1726.5,2
2020-02-07,Houston,3-5km,1081.1666666666667,2
2020-02-07,Houston,5km+,729.5,1
2020-02-08,Dallas,0-1km,1835.0,2
2020-02-08,Dallas,1-2km,2362.0,1
2020-02-08,Houston,0-1km,1181.0,1
2020-02-08,Houston,1-2km,2689.0,2
2020-02-08,Houston,2-3km,327.0,1
2020-02-08,Houston,3-5km,521.0,1
2020-02-09,Dallas,0-1km,598.5,2
2020-02-09,Dallas,1-2km,2535.5,2
2020-02-09,Dallas,2-3km,1740.0,1
2020-02-09,Houston,0-1km,9225.0,1
2020-02-09,Houston,1-2km,411.0,2
2020-02-09,Houston,2-3km,2723.0,2
2020-02-11,Dallas,0-1km,2470.75,3
2020-02-11,Dallas,1-2km,720.0,1
2020-02-11,Dallas,2-3km,588.25,2
2020-02-11,Houston,0-1km,1511.9333333333334,3
2020-02-11,Houston,1-2km,138.33333333333334,1
2020-02-11,Houston,3-5km,440.4,1
2020-02-11,Houston,5km+,1218.3333333333333,2
2020-02-13,Dallas,0-1km,3673.0,5
2020-02-13,Dallas,1-2km,1965.25,4
2020-02-13,Dallas,2-3km,684.75,2
2020-02-13,Houston,0-1km,1814.1818181818182,3
2020-02-13,Houston,1-2km,1648.6363636363635,4
2020-02-13,Houston,2-3km,105.0909090909091,1
2020-02-13,Houston,3-5km,105.0909090909091,1
