state_fk,market_fk,time_fk,foursquare_crowd_0_1km,foursquare_crowd_1_2km,foursquare_crowd_2_3km,foursquare_crowd_3_5km,foursquare_crowd_5km_plus,foursquare_crowd_total,foursquare_lat_0_1km,foursquare_lat_1_2km,foursquare_lat_2_3km,foursquare_lat_3_5km,foursquare_lat_5km_plus,foursquare_lon_0_1km,foursquare_lon_1_2km,foursquare_lon_2_3km,foursquare_lon_3_5km,foursquare_lon_5km_plus
TX,Dallas / Houston,2020-01-01,679.0,2319.0,2065.5,655.0,84.5,5803.0,30.127329717680265,31.93975234561537,30.57958873030677,32.07222244543353,29.57849330631566,-95.49182665409478,-96.36019082969086,-95.68404105400676,-96.35396138946368,-95.40381472897492
TX,Dallas / Houston,2020-01-02,7929.1,1201.9,618.0,1730.0,2656.0,14135.0,31.56620057364351,32.73108528740031,29.701784515840558,29.881536724397044,29.5826273527076,-96.26729209064987,-96.79307545246286,-95.29394779015652,-95.38495504924123,-95.39015056297868
TX,Dallas / Houston,2020-01-03,7781.25,3112.5,0.0,0.0,1556.25,12450.0,30.901806953702444,32.771847538621564,,,29.58313933882349,-96.00652545797283,-96.60049799387771,,,-95.38976994137528
TX,Dallas / Houston,2020-01-04,9682.745454545455,4432.809090909091,974.2727272727273,616.6727272727272,2037.5,17744.0,32.052285150417426,31.547824404844693,31.10619205396201,29.793341559655588,29.5804966057719,-96.51112324231836,-96.22363673681673,-95.96591001248467,-95.37812432727029,-95.39349723709935
TX,Dallas / Houston,2020-01-05,5085.75,2164.5,217.0,0.0,973.75,8441.0,30.86110896634041,32.48024381485992,29.903268535136863,,29.58313933882349,-95.97776638741827,-96.4860045861713,-95.31547300897144,,-95.38976994137528
TX,Dallas / Houston,2020-01-06,3343.0,1325.5,0.0,0.0,1210.5,5879.0,31.694746530912532,32.692805295502104,,,29.59910474511242,-96.28777855565059,-96.77901647572492,,,-95.36744540101678
TX,Dallas / Houston,2020-01-07,1931.6,293.2,0.0,293.2,0.0,2517.9999999999995,29.771639819539626,29.76396012356901,,29.918265693568827,,-95.21149242030337,-95.46774223597075,,-95.35407847589786,
TX,Dallas / Houston,2020-01-08,3818.5333333333333,1651.2666666666667,0.0,281.0,1579.2,7330.0,31.559477944889892,31.72107384021024,,29.626839978434557,29.593858687664078,-96.22220062614315,-96.36093326115424,,-95.3887735244042,-95.37538911289195
TX,Dallas / Houston,2020-01-09,5013.8,3778.0,4598.5,3355.95,761.75,17508.0,30.516010949229955,31.557220069111402,32.127720751069866,31.161947083620774,29.579543848524864,-95.73952961625719,-96.26154983863205,-96.46614909703881,-95.94805663766778,-95.39602663276818
TX,Dallas / Houston,2020-01-10,0.0,3046.0,3046.0,0.0,0.0,6092.0,,29.938649540648132,32.78596307569304,,,,-95.31487078537985,-96.62537190528091,,
TX,Dallas / Houston,2020-01-11,5192.666666666667,907.6666666666667,4741.0,0.0,451.6666666666667,11293.0,29.769246626445288,30.8090206075391,32.79130171649204,,29.592099915926156,-95.48831561807211,-95.87284975631692,-96.63400533052597,,-95.38061851934508
TX,Dallas / Houston,2020-01-12,47.5,1974.5,0.0,291.0,0.0,2313.0,32.92596755815977,31.142516879171822,,29.626839978434553,,-96.83941959782652,-96.07101410319304,,-95.3887735244042,
TX,Dallas / Houston,2020-01-13,8603.166666666668,381.1666666666667,153.33333333333334,0.0,153.33333333333334,9291.000000000002,32.86445002614204,31.555335068549304,32.6026307254389,,29.580245261347233,-96.81842659218545,-96.16712547786352,-96.78783244900674,,-95.39563538455086
TX,Dallas / Houston,2020-01-14,6687.25,666.0,361.25,0.0,166.5,7881.0,30.021805970895294,31.274767057129345,32.60479721732983,,29.578493306315664,-95.61334910162448,-96.07722870033602,-96.78779915237693,,-95.40381472897492
TX,Dallas / Houston,2020-01-15,2583.366666666667,1948.0166666666669,850.0833333333333,0.0,870.5333333333333,6252.0,31.10401741614367,30.932399827875358,31.09945352988075,,29.592723595428716,-96.02595954401075,-95.97784280314178,-95.99385860081864,,-95.37762075869597
TX,Dallas / Houston,2020-01-16,540.3333333333333,442.8333333333333,270.16666666666663,0.0,172.66666666666666,1425.9999999999998,31.77415656800978,30.950718404634205,31.60383881426855,,29.580245261347233,-96.3920611585984,-95.89864037687438,-96.24556953307058,,-95.39563538455084
