time_fk,state_fk,market_fk,daily_visitors,n_stores_reporting,is_hot_season
2020-01-01,CA,Los Angeles / SF Bay Area,7076.0,8,False
2020-01-02,CA,Los Angeles / SF Bay Area,6560.0,10,False
2020-01-03,CA,Los Angeles / SF Bay Area,19603.0,14,False
2020-01-04,CA,Los Angeles / SF Bay Area,12951.0,16,False
2020-01-05,CA,Los Angeles / SF Bay Area,10328.0,8,False
2020-01-06,CA,Los Angeles / SF Bay Area,5045.0,11,False
2020-01-07,CA,Los Angeles / SF Bay Area,5902.0,11,False
2020-01-08,CA,Los Angeles / SF Bay Area,11769.0,12,False
2020-01-09,CA,Los Angeles / SF Bay Area,3541.0,7,False
2020-01-10,CA,Los Angeles / SF Bay Area,9429.0,15,False
2020-01-11,CA,Los Angeles / SF Bay Area,7175.0,10,False
2020-01-12,CA,Los Angeles / SF Bay Area,15005.0,13,False
2020-01-13,CA,Los Angeles / SF Bay Area,10086.0,11,False
2020-01-14,CA,Los Angeles / SF Bay Area,8907.0,14,False
2020-01-15,CA,Los Angeles / SF Bay Area,2461.0,11,False
2020-01-16,CA,Los Angeles / SF Bay Area,12981.0,11,False
2020-01-17,CA,Los Angeles / SF Bay Area,4307.0,9,False
2020-01-18,CA,Los Angeles / SF Bay Area,12204.0,13,False
2020-01-19,CA,Los Angeles / SF Bay Area,3669.0,11,False
2020-01-20,CA,Los Angeles / SF Bay Area,18697.0,10,False
2020-01-21,CA,Los Angeles / SF Bay Area,5741.0,9,False
2020-01-22,CA,Los Angeles / SF Bay Area,3314.0,8,False
2020-01-23,CA,Los Angeles / SF Bay Area,11108.0,10,False
2020-01-24,CA,Los Angeles / SF Bay Area,8560.0,7,False
2020-01-25,CA,Los Angeles / SF Bay Area,10174.0,12,False
2020-01-26,CA,Los Angeles / SF Bay Area,6560.0,9,False
2020-01-27,CA,Los Angeles / SF Bay Area,11351.0,11,False
2020-01-28,CA,Los Angeles / SF Bay Area,1775.0,6,False
2020-01-29,CA,Los Angeles / SF Bay Area,7101.0,10,False
2020-01-30,CA,Los Angeles / SF Bay Area,4490.0,13,False
2020-01-31,CA,Los Angeles / SF Bay Area,11025.0,8,False
2020-02-01,CA,Los Angeles / SF Bay Area,26777.0,18,False
2020-02-02,CA,Los Angeles / SF Bay Area,3119.0,10,False
2020-02-03,CA,Los Angeles / SF Bay Area,5495.0,16,False
2020-02-04,CA,Los Angeles / SF Bay Area,10414.0,10,False
2020-02-05,CA,Los Angeles / SF Bay Area,12942.0,18,False
2020-02-06,CA,Los Angeles / SF Bay Area,10796.0,14,False
2020-02-07,CA,Los Angeles / SF Bay Area,7566.0,8,False
2020-02-08,CA,Los Angeles / SF Bay Area,9601.0,7,False
2020-02-09,CA,Los Angeles / SF Bay Area,4348.0,6,False
2020-02-10,CA,Los Angeles / SF Bay Area,7136.0,15,False
2020-02-11,CA,Los Angeles / SF Bay Area,5781.0,13,False
2020-02-12,CA,Los Angeles / SF Bay Area,11170.0,10,False
2020-02-13,CA,Los Angeles / SF Bay Area,13529.0,13,False
2020-02-14,CA,Los Angeles / SF Bay Area,16836.0,15,False
2020-02-15,CA,Los Angeles / SF Bay Area,5939.0,10,False
2020-02-16,CA,Los Angeles / SF Bay Area,9407.0,10,False
2020-02-17,CA,Los Angeles / SF Bay Area,1874.0,5,False
2020-02-18,CA,Los Angeles / SF Bay Area,3359.0,11,False
2020-02-19,CA,Los Angeles / SF Bay Area,7578.0,12,False
2020-02-20,CA,Los Angeles / SF Bay Area,10769.0,9,False
2020-02-21,CA,Los Angeles / SF Bay Area,12920.0,15,False
2020-02-22,CA,Los Angeles / SF Bay Area,17924.0,15,False
2020-02-23,CA,Los Angeles / SF Bay Area,4489.0,12,False
2020-02-24,CA,Los Angeles / SF Bay Area,12509.0,17,False
2020-02-25,CA,Los Angeles / SF Bay Area,11669.0,17,False
2020-02-26,CA,Los Angeles / SF Bay Area,1945.0,12,False
2020-02-27,CA,Los Angeles / SF Bay Area,10449.0,16,False
2020-02-28,CA,Los Angeles / SF Bay Area,15683.0,12,False
2020-02-29,CA,Los Angeles / SF Bay Area,12804.0,13,False
2020-03-01,CA,Los Angeles / SF Bay Area,5069.0,10,False
2020-03-02,CA,Los Angeles / SF Bay Area,5313.0,9,False
2020-03-03,CA,Los Angeles / SF Bay Area,2172.0,6,False
2020-03-04,CA,Los Angeles / SF Bay Area,2027.0,9,False
2020-03-05,CA,Los Angeles / SF Bay Area,11078.0,10,False
2020-03-06,CA,Los Angeles / SF Bay Area,8007.0,10,False
2020-03-07,CA,Los Angeles / SF Bay Area,9771.0,9,False
2020-03-08,CA,Los Angeles / SF Bay Area,14002.0,15,False
2020-03-09,CA,Los Angeles / SF Bay Area,6390.0,10,False
2020-03-10,CA,Los Angeles / SF Bay Area,4886.0,9,False
2020-03-11,CA,Los Angeles / SF Bay Area,12979.0,16,False
2020-03-12,CA,Los Angeles / SF Bay Area,4935.0,6,False
2020-03-13,CA,Los Angeles / SF Bay Area,16686.0,11,False
2020-03-14,CA,Los Angeles / SF Bay Area,4739.0,7,False
2020-03-15,CA,Los Angeles / SF Bay Area,1762.0,12,False
2020-03-16,CA,Los Angeles / SF Bay Area,3177.0,18,False
2020-03-17,CA,Los Angeles / SF Bay Area,6973.0,15,False
2020-03-18,CA,Los Angeles / SF Bay Area,5593.0,13,False
2020-03-19,CA,Los Angeles / SF Bay Area,1844.0,14,False
2020-03-20,CA,Los Angeles / SF Bay Area,810.0,12,False
2020-03-21,CA,Los Angeles / SF Bay Area,1338.0,12,False
2020-03-22,CA,Los Angeles / SF Bay Area,558.0,11,False
