state_fk,market_fk,avg_daily_visitors_all_days,peak_day_visitors,hot_window_avg_daily_visitors,cool_season_avg_daily_visitors,pct_total_visits_during_hot_season,n_days_observed
CA,Los Angeles / SF Bay Area,6685.714285714286,8003.1085731721405,,6685.714285714286,0.0,31.0
FL,Miami,5198.714285714285,5851.453859859153,,5198.714285714285,0.0,31.0
GA,Atlanta,2232.0,2643.487602539657,,2232.0,0.0,31.0
KS,Kansas City,326.28571428571416,364.8260293371006,,326.28571428571416,0.0,31.0
MA,Boston,654.142857142857,798.6371785432509,,654.142857142857,0.0,31.0
MO,Kansas City,2542.5714285714284,2949.122532324471,,2542.5714285714284,0.0,31.0
NJ,New York/New Jersey,2488.2857142857138,3301.7662909601736,,2488.2857142857138,0.0,31.0
NY,New York/New Jersey,2442.428571428571,2891.6196380774345,,2442.428571428571,0.0,31.0
PA,Philadelphia,1497.571428571429,1813.654801386943,,1497.571428571429,0.0,31.0
TX,Dallas / Houston,7165.714285714287,8509.780040910813,,7165.714285714287,0.0,31.0
WA,Seattle,1672.857142857143,2052.4909740476064,,1672.857142857143,0.0,31.0
