state_fk,market_fk,avg_daily_visitors_all_days,peak_day_visitors,hot_window_avg_daily_visitors,cool_season_avg_daily_visitors,pct_total_visits_during_hot_season,n_days_observed
CA,Los Angeles / SF Bay Area,7525.053092501368,37989.0,8101.076086956522,7331.219458668617,0.2710518820110629,1827.0
FL,Miami,5737.560240963855,42000.0,5514.634782608696,5812.630307467057,0.2421288591872411,1826.0
GA,Atlanta,2920.1315935591338,19707.0,2849.3318681318683,2944.0646359583952,0.2465121311267186,1801.0
KS,Kansas City,752.3125,19750.0,771.3389261744967,746.136165577342,0.25126364761284287,1216.0
MA,Boston,1190.103492063492,15774.0,1420.3762626262626,1112.7599660729431,0.3000774109014395,1575.0
MO,Kansas City,1358.5450208706022,13451.0,1480.1186046511627,1316.6230954290297,0.27935591762206574,1677.0
NJ,New York/New Jersey,1687.0836820083682,20218.0,1602.366028708134,1715.3003984063746,0.23730421106745778,1673.0
NY,New York/New Jersey,2879.2309392265192,19601.0,2972.896475770925,2847.8709439528025,0.25898854973550334,1810.0
PA,Philadelphia,2486.56918767507,17118.0,2744.0313901345294,2400.812546676624,0.27573072682237304,1785.0
TX,Dallas / Houston,7198.595511767926,36362.0,7509.789130434782,7093.877834674469,0.2626632148793849,1827.0
WA,Seattle,1455.752596212584,19633.0,1554.193236714976,1422.4292722812756,0.2700033192520395,1637.0
