state_fk,market_fk,time_fk,p10,p50,p90
TX,Dallas / Houston,2024-01-01,2775.4550834818288,5059.949266431264,9684.482621246936
TX,Dallas / Houston,2024-01-02,4396.264332264784,6863.0251618682805,10241.912882339979
TX,Dallas / Houston,2024-01-03,11190.041140159572,16644.171708270056,18195.876247468288
TX,Dallas / Houston,2024-01-04,3747.2927725316727,6077.660016239089,10346.430216737843
TX,Dallas / Houston,2024-01-05,2540.850211751332,6026.701231273745,8651.642575423226
TX,Dallas / Houston,2024-01-06,2505.1513417394317,5998.885910869242,9329.831467416132
TX,Dallas / Houston,2024-01-07,3109.3701483755044,6588.5820310650615,9300.830265512272
TX,Dallas / Houston,2024-01-08,3037.951340275129,6056.2217974089335,9682.398334999632
TX,Dallas / Houston,2024-01-09,2477.026503717209,5504.551827294198,8721.176880738061
TX,Dallas / Houston,2024-01-10,2618.240237739855,5004.903390832911,7804.353647072071
TX,Dallas / Houston,2024-01-11,5685.112543811396,8246.567043558529,11213.073959047433
TX,Dallas / Houston,2024-01-12,13345.183269295716,19082.39380424195,23536.68404229599
TX,Dallas / Houston,2024-01-13,5055.141071517098,6909.714731393903,9835.175003803988
TX,Dallas / Houston,2024-01-14,946.5673618610443,3147.1872247517626,7219.979988371393
TX,Dallas / Houston,2024-01-15,2626.3918799007333,5288.909304163111,8104.180295921504
TX,Dallas / Houston,2024-01-16,2482.952074200432,5245.7819598653705,7731.806843781038
TX,Dallas / Houston,2024-01-17,3027.1498281662966,5363.393171985282,8630.971702888568
TX,Dallas / Houston,2024-01-18,3458.530343194295,6274.61037134904,10892.411342218751
TX,Dallas / Houston,2024-01-19,4144.717108818793,5880.6582131642235,10233.864273676776
TX,Dallas / Houston,2024-01-20,2695.1625317716107,4664.087373373784,7390.654611687285
TX,Dallas / Houston,2024-01-21,876.9717895051178,2632.639896287045,6889.541038339972
TX,Dallas / Houston,2024-01-22,2733.3982195551453,5653.809313211213,8298.169821911726
TX,Dallas / Houston,2024-01-23,1150.9341886269433,3562.915824231861,7383.9219085664035
TX,Dallas / Houston,2024-01-24,8735.180430450824,13625.951822993191,14490.903588945423
TX,Dallas / Houston,2024-01-25,6467.7899402798585,8253.011233197938,11107.564448649011
TX,Dallas / Houston,2024-01-26,2270.507612998977,4477.434596789026,8031.45352058532
TX,Dallas / Houston,2024-01-27,3407.7718596975183,6051.583726572079,9461.180577666537
TX,Dallas / Houston,2024-01-28,3094.2320006447712,5319.610635304124,8269.131511698492
TX,Dallas / Houston,2024-01-29,2882.004105796101,4703.605767770041,7427.74237711477
TX,Dallas / Houston,2024-01-30,1618.0551664527575,3497.946277076321,8158.878528791212
TX,Dallas / Houston,2024-01-31,4524.772698316941,6105.374176200564,9867.19303790283
TX,Dallas / Houston,2024-02-01,2005.0537391845403,3894.3144294832864,7590.395400224762
TX,Dallas / Houston,2024-02-02,3222.78527690094,5540.65356990415,9752.043956132207
TX,Dallas / Houston,2024-02-03,5259.823520827571,7430.239425351917,10059.587417454963
TX,Dallas / Houston,2024-02-04,2604.783520130886,4651.351075169592,8165.840077939457
TX,Dallas / Houston,2024-02-05,2226.5974807386206,4158.4974473386865,7997.990162666526
TX,Dallas / Houston,2024-02-06,3089.2200965937236,4862.027477037081,9011.750819431532
TX,Dallas / Houston,2024-02-07,1001.5813212043375,3013.5612289693604,7514.867513962313
TX,Dallas / Houston,2024-02-08,6306.978961194183,10525.868328620565,14652.541908677751
TX,Dallas / Houston,2024-02-09,5820.465406219668,8805.962932773216,10310.299774467176
TX,Dallas / Houston,2024-02-10,4534.878423133876,7339.811925950297,9418.096315008434
TX,Dallas / Houston,2024-02-11,3918.130885301216,5767.281879665369,10351.02506649683
TX,Dallas / Houston,2024-02-12,2469.7735954446766,4550.732844509663,8190.843532930502
TX,Dallas / Houston,2024-02-13,4628.159185405455,6633.394201588637,10779.116355295637
TX,Dallas / Houston,2024-02-14,1618.8689761351184,3188.511023110585,7682.808509648027
TX,Dallas / Houston,2024-02-15,6764.747626174088,8835.05144647745,13000.240146627846
TX,Dallas / Houston,2024-02-16,3061.013521211528,5576.2097400253615,9257.199996375879
TX,Dallas / Houston,2024-02-17,13635.699248570956,17293.394118246022,19712.650907783638
TX,Dallas / Houston,2024-02-18,4650.130907239593,5943.381580994736,10369.152067806559
TX,Dallas / Houston,2024-02-19,4629.398566923736,7323.965652479779,10891.833171964128
TX,Dallas / Houston,2024-02-20,1639.9735887277554,3613.2642841294,8081.953347382068
TX,Dallas / Houston,2024-02-21,4975.0609564375845,8349.205109448452,10513.396570144178
TX,Dallas / Houston,2024-02-22,2992.3113931911116,6062.366781136829,9728.584681525812
TX,Dallas / Houston,2024-02-23,1170.0174924405774,3057.1213328070226,7621.606064449374
TX,Dallas / Houston,2024-02-24,2582.683252962967,5279.377359030603,9382.999219929765
TX,Dallas / Houston,2024-02-25,2881.344774757137,5407.031669473784,8508.686773036297
TX,Dallas / Houston,2024-02-26,5215.359481530477,7190.481167780102,10647.689716687057
TX,Dallas / Houston,2024-02-27,1479.9227357329305,3636.0627495957197,7617.826385291114
TX,Dallas / Houston,2024-02-28,10324.717827494418,11695.234445367303,15415.858598997156
TX,Dallas / Houston,2024-02-29,1257.367352309063,4178.56200489809,8061.195325566078
TX,Dallas / Houston,2024-03-01,4519.876245837615,7102.906907727862,11224.345555979917
TX,Dallas / Houston,2024-03-02,4173.290998270055,6655.660027079674,10795.646315469117
TX,Dallas / Houston,2024-03-03,4525.574336141322,6441.867704268426,10834.085049366136
TX,Dallas / Houston,2024-03-04,3135.12088829545,6009.874155305251,10550.373974644212
TX,Dallas / Houston,2024-03-05,2968.188080065226,5285.824130643543,8642.142332834406
TX,Dallas / Houston,2024-03-06,4753.221025863458,8365.387674951226,11296.973880909869
TX,Dallas / Houston,2024-03-07,1146.7839815011653,3226.6926877294395,8433.961409439862
TX,Dallas / Houston,2024-03-08,4501.983332707488,6920.495908058806,10505.744367496645
TX,Dallas / Houston,2024-03-09,3149.0096039711448,6333.132174049466,10724.533394493323
TX,Dallas / Houston,2024-03-10,3177.7654391123347,6393.24030008898,11115.04312288117
TX,Dallas / Houston,2024-03-11,5532.617119470777,8192.227951245553,12202.903017078977
TX,Dallas / Houston,2024-03-12,1288.1959988429596,2865.962279529965,7585.396023065603
TX,Dallas / Houston,2024-03-13,1241.5404905636278,3355.488518468202,8583.323424487437
TX,Dallas / Houston,2024-03-14,3980.279686433682,6472.540188292933,11180.820704245956
TX,Dallas / Houston,2024-03-15,5415.660159327304,8168.071815187746,11507.425558128838
TX,Dallas / Houston,2024-03-16,5727.425616053477,8263.295712915826,11368.167220010395
TX,Dallas / Houston,2024-03-17,7035.723859716925,10219.341732824432,14560.969801366773
TX,Dallas / Houston,2024-03-18,4865.411029918495,6781.586326992245,10767.4895818339
TX,Dallas / Houston,2024-03-19,5155.907851593809,8974.519274482635,11319.196157494302
TX,Dallas / Houston,2024-03-20,5969.286672292437,8577.334224636537,12049.627306588118
TX,Dallas / Houston,2024-03-21,1284.931788016453,3574.95989333883,8674.235271052663
TX,Dallas / Houston,2024-03-22,4283.3422381214505,7381.842771323549,11058.678840948687
TX,Dallas / Houston,2024-03-23,2767.1090823678583,5233.613700389792,8912.90701343104
TX,Dallas / Houston,2024-03-24,4226.364301828425,6294.121618069326,11577.21919055717
TX,Dallas / Houston,2024-03-25,1402.8365008122362,3334.0734418480947,8595.011429325607
TX,Dallas / Houston,2024-03-26,6712.902385113634,8613.814224421392,14895.486733414231
TX,Dallas / Houston,2024-03-27,5785.755840050576,8749.272394445981,14251.289667297344
TX,Dallas / Houston,2024-03-28,2598.780340820136,4872.576836207115,8511.584846105896
TX,Dallas / Houston,2024-03-29,13463.896867681688,15649.899266155291,19295.066592900643
TX,Dallas / Houston,2024-03-30,1619.0557624144885,4044.526279022929,8502.476870398348
TX,Dallas / Houston,2024-03-31,5089.624096528921,7258.109693286794,12085.659311678879
TX,Dallas / Houston,2024-04-01,1050.0186877847157,3319.6408258497263,8776.00553259166
TX,Dallas / Houston,2024-04-02,7335.655368193533,11647.649609547118,15716.515186687375
TX,Dallas / Houston,2024-04-03,2049.9794915629077,4153.499960530842,7839.84244667038
TX,Dallas / Houston,2024-04-04,4023.383492902839,6837.195726015102,10983.794078313915
TX,Dallas / Houston,2024-04-05,4141.226316228704,6070.150351899622,11515.544729465862
TX,Dallas / Houston,2024-04-06,2605.577439677187,5448.966477014355,11465.187958267787
TX,Dallas / Houston,2024-04-07,3244.0661864871045,5749.603622404517,10420.75494725843
TX,Dallas / Houston,2024-04-08,4165.1591370314445,6315.7203821221565,11857.339390404055
TX,Dallas / Houston,2024-04-09,3011.888678199431,5635.70116318501,8921.263155065826
TX,Dallas / Houston,2024-04-10,4466.322215257225,6407.946899730178,11535.316620271868
TX,Dallas / Houston,2024-04-11,11080.557755815888,12197.74374349893,15362.4279930783
TX,Dallas / Houston,2024-04-12,1710.7242787034666,4391.948145071392,8900.205324649856
TX,Dallas / Houston,2024-04-13,10887.327102232644,12203.01982657892,15744.65287710769
TX,Dallas / Houston,2024-04-14,2768.047866681459,5259.925164093546,8778.603374255666
TX,Dallas / Houston,2024-04-15,6630.1201182146,10106.419200208975,14698.228324241887
TX,Dallas / Houston,2024-04-16,4300.355227950294,6688.830059116534,11386.29364202442
TX,Dallas / Houston,2024-04-17,2664.2078790820924,5431.954342700429,8717.792673633394
TX,Dallas / Houston,2024-04-18,2808.6911266647417,5163.409467208202,8617.83347494907
TX,Dallas / Houston,2024-04-19,4655.54964576714,6689.486850364409,11655.266248968896
TX,Dallas / Houston,2024-04-20,13609.855397389152,14874.928201045193,16933.94509873115
TX,Dallas / Houston,2024-04-21,9092.1581619871,12040.029369159178,14637.675322618534
TX,Dallas / Houston,2024-04-22,3382.7870071282246,5870.931068706141,9982.832084341555
