feature,importance
category_grouped,0.2790266
is_covid_period,0.112033784
day_of_week,0.097800925
year,0.06843237
brand_name_grouped,0.05928599
month,0.049585793
is_federal_holiday,0.034719713
stores_reporting_rolling_7,0.03428148
has_foursquare_data,0.03255575
visitors_per_reporting_store_lag_1,0.029971803
visitors_rolling_28,0.02367625
visitors_rolling_7,0.021899281
visitors_rolling_7_vs_28,0.02095791
is_hot_season,0.01811753
state_fk,0.016409913
foursquare_crowd_total,0.010475365
foursquare_heat_exposure_idw,0.009300616
foursquare_crowd_share_within_1km,0.008619898
visitors_rolling_7_std,0.008400177
stores_reporting_lag_1,0.0072627994
visitors_lag_1,0.0067100385
foursquare_crowd_0_1km,0.0065767504
visitors_lag_7,0.0064729005
foursquare_crowd_5km_plus,0.0063419146
visitors_pct_change_1d,0.006051908
foursquare_crowd_1_2km,0.0058242283
foursquare_crowd_3_5km,0.005644597
foursquare_crowd_2_3km,0.005208706
stores_reporting_change_1d,0.0048806397
market_fk,0.003397008
is_weekend,7.74116e-05
