state_fk,market_fk,year,month,visitors_total,is_hot_season,visitors_lag_1,visitors_lag_12,visitors_rolling_3,visitors_rolling_12,stores_reporting_lag_1
CA,Los Angeles / SF Bay Area,2021,1,122896.0,False,122028.0,268895.0,155245.66666666666,174462.25,347.0
CA,Los Angeles / SF Bay Area,2021,2,128527.0,False,122896.0,284828.0,135157.66666666666,162295.66666666666,352.0
CA,Los Angeles / SF Bay Area,2021,3,174400.0,False,128527.0,150584.0,124483.66666666667,149270.58333333334,320.0
CA,Los Angeles / SF Bay Area,2021,4,166920.0,False,174400.0,51175.0,141941.0,151255.25,370.0
CA,Los Angeles / SF Bay Area,2021,5,150247.0,False,166920.0,140087.0,156615.66666666666,160900.66666666666,331.0
CA,Los Angeles / SF Bay Area,2021,6,303068.0,True,150247.0,229563.0,163855.66666666666,161747.33333333334,318.0
CA,Los Angeles / SF Bay Area,2021,7,261612.0,True,303068.0,178353.0,206745.0,167872.75,346.0
CA,Los Angeles / SF Bay Area,2021,8,239017.0,True,261612.0,157814.0,238309.0,174811.0,348.0
CA,Los Angeles / SF Bay Area,2021,9,235963.0,False,239017.0,166511.0,267899.0,181577.91666666666,347.0
CA,Los Angeles / SF Bay Area,2021,10,276378.0,False,235963.0,183160.0,245530.66666666666,187365.58333333334,332.0
CA,Los Angeles / SF Bay Area,2021,11,221417.0,False,276378.0,160549.0,250452.66666666666,195133.75,352.0
CA,Los Angeles / SF Bay Area,2021,12,288190.0,False,221417.0,122028.0,244586.0,200206.08333333334,317.0
CA,Los Angeles / SF Bay Area,2022,1,235525.0,False,288190.0,122896.0,261995.0,214052.91666666666,366.0
CA,Los Angeles / SF Bay Area,2022,2,190847.0,False,235525.0,128527.0,248377.33333333334,223438.66666666666,353.0
CA,Los Angeles / SF Bay Area,2022,3,218074.0,False,190847.0,174400.0,238187.33333333334,228632.0,302.0
CA,Los Angeles / SF Bay Area,2022,4,249240.0,False,218074.0,166920.0,214815.33333333334,232271.5,336.0
CA,Los Angeles / SF Bay Area,2022,5,235878.0,False,249240.0,150247.0,219387.0,239131.5,308.0
CA,Los Angeles / SF Bay Area,2022,6,261383.0,True,235878.0,303068.0,234397.33333333334,246267.41666666666,361.0
CA,Los Angeles / SF Bay Area,2022,7,282075.0,True,261383.0,261612.0,248833.66666666666,242793.66666666666,348.0
CA,Los Angeles / SF Bay Area,2022,8,279955.0,True,282075.0,239017.0,259778.66666666666,244498.91666666666,368.0
CA,Los Angeles / SF Bay Area,2022,9,222167.0,False,279955.0,235963.0,274471.0,247910.41666666666,367.0
CA,Los Angeles / SF Bay Area,2022,10,284397.0,False,222167.0,276378.0,261399.0,246760.75,314.0
CA,Los Angeles / SF Bay Area,2022,11,208641.0,False,284397.0,221417.0,262173.0,247429.0,366.0
CA,Los Angeles / SF Bay Area,2022,12,293376.0,False,208641.0,288190.0,238401.66666666666,246364.33333333334,322.0
CA,Los Angeles / SF Bay Area,2023,1,250109.0,False,293376.0,235525.0,262138.0,246796.5,349.0
CA,Los Angeles / SF Bay Area,2023,2,207564.0,False,250109.0,190847.0,250708.66666666666,248011.83333333334,368.0
CA,Los Angeles / SF Bay Area,2023,3,234660.0,False,207564.0,218074.0,250349.66666666666,249404.91666666666,328.0
CA,Los Angeles / SF Bay Area,2023,4,232302.0,False,234660.0,249240.0,230777.66666666666,250787.08333333334,343.0
CA,Los Angeles / SF Bay Area,2023,5,284265.0,False,232302.0,235878.0,224842.0,249375.58333333334,340.0
CA,Los Angeles / SF Bay Area,2023,6,233692.0,True,284265.0,261383.0,250409.0,253407.83333333334,357.0
CA,Los Angeles / SF Bay Area,2023,7,291974.0,True,233692.0,282075.0,250086.33333333334,251100.25,320.0
CA,Los Angeles / SF Bay Area,2023,8,258962.0,True,291974.0,279955.0,269977.0,251925.16666666666,372.0
CA,Los Angeles / SF Bay Area,2023,9,252436.0,False,258962.0,222167.0,261542.66666666666,250175.75,335.0
CA,Los Angeles / SF Bay Area,2023,10,269145.0,False,252436.0,284397.0,267790.6666666667,252698.16666666666,343.0
CA,Los Angeles / SF Bay Area,2023,11,264420.0,False,269145.0,208641.0,260181.0,251427.16666666666,371.0
CA,Los Angeles / SF Bay Area,2023,12,282169.0,False,264420.0,293376.0,262000.33333333334,256075.41666666666,334.0
CA,Los Angeles / SF Bay Area,2024,1,258072.0,False,282169.0,250109.0,271911.3333333333,255141.5,359.0
CA,Los Angeles / SF Bay Area,2024,2,210015.0,False,258072.0,207564.0,268220.3333333333,255805.08333333334,354.0
CA,Los Angeles / SF Bay Area,2024,3,273557.0,False,210015.0,234660.0,250085.33333333334,256009.33333333334,330.0
CA,Los Angeles / SF Bay Area,2024,4,185820.0,False,273557.0,232302.0,247214.66666666666,259250.75,341.0
CA,Los Angeles / SF Bay Area,2024,5,273437.0,False,185820.0,284265.0,223130.66666666666,255377.25,285.0
CA,Los Angeles / SF Bay Area,2024,6,262651.0,True,273437.0,233692.0,244271.33333333334,254474.91666666666,374.0
CA,Los Angeles / SF Bay Area,2024,7,227130.0,True,262651.0,291974.0,240636.0,256888.16666666666,338.0
CA,Los Angeles / SF Bay Area,2024,8,259246.0,True,227130.0,258962.0,254406.0,251484.5,328.0
CA,Los Angeles / SF Bay Area,2024,9,245931.0,False,259246.0,252436.0,249675.66666666666,251508.16666666666,342.0
CA,Los Angeles / SF Bay Area,2024,10,294220.0,False,245931.0,269145.0,244102.33333333334,250966.08333333334,324.0
CA,Los Angeles / SF Bay Area,2024,11,288963.0,False,294220.0,264420.0,266465.6666666667,253055.66666666666,338.0
CA,Los Angeles / SF Bay Area,2024,12,283792.0,False,288963.0,282169.0,276371.3333333333,255100.91666666666,343.0
FL,Miami,2021,1,162475.0,False,174537.0,231727.0,158445.0,142365.58333333334,261.0
FL,Miami,2021,2,148626.0,False,162475.0,191308.0,161998.33333333334,136594.58333333334,254.0
FL,Miami,2021,3,186306.0,False,148626.0,116728.0,161879.33333333334,133037.75,225.0
FL,Miami,2021,4,144044.0,False,186306.0,45233.0,165802.33333333334,138835.91666666666,261.0
FL,Miami,2021,5,223651.0,False,144044.0,116458.0,159658.66666666666,147070.16666666666,226.0
FL,Miami,2021,6,182559.0,True,223651.0,147946.0,184667.0,156002.91666666666,258.0
FL,Miami,2021,7,163387.0,True,182559.0,112021.0,183418.0,158887.33333333334,247.0
FL,Miami,2021,8,156009.0,True,163387.0,124874.0,189865.66666666666,163167.83333333334,224.0
FL,Miami,2021,9,173687.0,False,156009.0,146757.0,167318.33333333334,165762.41666666666,260.0
FL,Miami,2021,10,179514.0,False,173687.0,151815.0,164361.0,168006.58333333334,239.0
FL,Miami,2021,11,201087.0,False,179514.0,148983.0,169736.66666666666,170314.83333333334,251.0
FL,Miami,2021,12,199714.0,False,201087.0,174537.0,184762.66666666666,174656.83333333334,253.0
FL,Miami,2022,1,169121.0,False,199714.0,162475.0,193438.33333333334,176754.91666666666,246.0
FL,Miami,2022,2,173304.0,False,169121.0,148626.0,189974.0,177308.75,239.0
FL,Miami,2022,3,256204.0,False,173304.0,186306.0,180713.0,179365.25,222.0
FL,Miami,2022,4,167173.0,False,256204.0,144044.0,199543.0,185190.08333333334,290.0
FL,Miami,2022,5,166454.0,False,167173.0,223651.0,198893.66666666666,187117.5,224.0
FL,Miami,2022,6,115720.0,True,166454.0,182559.0,196610.33333333334,182351.08333333334,263.0
FL,Miami,2022,7,189566.0,True,115720.0,163387.0,149782.33333333334,176781.16666666666,207.0
FL,Miami,2022,8,177687.0,True,189566.0,156009.0,157246.66666666666,178962.75,233.0
FL,Miami,2022,9,168440.0,False,177687.0,173687.0,160991.0,180769.25,240.0
FL,Miami,2022,10,204001.0,False,168440.0,179514.0,178564.33333333334,180332.0,220.0
FL,Miami,2022,11,174484.0,False,204001.0,201087.0,183376.0,182372.58333333334,258.0
FL,Miami,2022,12,215248.0,False,174484.0,199714.0,182308.33333333334,180155.66666666666,254.0
FL,Miami,2023,1,164875.0,False,215248.0,169121.0,197911.0,181450.16666666666,228.0
FL,Miami,2023,2,175453.0,False,164875.0,173304.0,184869.0,181096.33333333334,261.0
FL,Miami,2023,3,186920.0,False,175453.0,256204.0,185192.0,181275.41666666666,206.0
FL,Miami,2023,4,189841.0,False,186920.0,167173.0,175749.33333333334,175501.75,244.0
FL,Miami,2023,5,211316.0,False,189841.0,166454.0,184071.33333333334,177390.75,219.0
FL,Miami,2023,6,215422.0,True,211316.0,115720.0,196025.66666666666,181129.25,247.0
FL,Miami,2023,7,183944.0,True,215422.0,189566.0,205526.33333333334,189437.75,241.0
FL,Miami,2023,8,173271.0,True,183944.0,177687.0,203560.66666666666,188969.25,253.0
FL,Miami,2023,9,156809.0,False,173271.0,168440.0,190879.0,188601.25,277.0
FL,Miami,2023,10,164192.0,False,156809.0,204001.0,171341.33333333334,187632.0,218.0
FL,Miami,2023,11,173000.0,False,164192.0,174484.0,164757.33333333334,184314.58333333334,259.0
FL,Miami,2023,12,230606.0,False,173000.0,215248.0,164667.0,184190.91666666666,248.0
FL,Miami,2024,1,145697.0,False,230606.0,164875.0,189266.0,185470.75,250.0
FL,Miami,2024,2,134507.0,False,145697.0,175453.0,183101.0,183872.58333333334,200.0
FL,Miami,2024,3,211917.0,False,134507.0,186920.0,170270.0,180460.41666666666,214.0
FL,Miami,2024,4,177472.0,False,211917.0,189841.0,164040.33333333334,182543.5,258.0
FL,Miami,2024,5,206383.0,False,177472.0,211316.0,174632.0,181512.75,233.0
FL,Miami,2024,6,218040.0,True,206383.0,215422.0,198590.66666666666,181101.66666666666,249.0
FL,Miami,2024,7,184859.0,True,218040.0,183944.0,200631.66666666666,181319.83333333334,274.0
FL,Miami,2024,8,191427.0,True,184859.0,173271.0,203094.0,181396.08333333334,250.0
FL,Miami,2024,9,184416.0,False,191427.0,156809.0,198108.66666666666,182909.08333333334,243.0
FL,Miami,2024,10,164334.0,False,184416.0,164192.0,186900.66666666666,185209.66666666666,244.0
FL,Miami,2024,11,208995.0,False,164334.0,173000.0,180059.0,185221.5,242.0
FL,Miami,2024,12,216241.0,False,208995.0,230606.0,185915.0,188221.08333333334,239.0
GA,Atlanta,2021,1,93819.0,False,96484.0,94361.0,109263.0,79811.25,134.0
GA,Atlanta,2021,2,79603.0,False,93819.0,85438.0,102681.66666666667,79766.08333333333,138.0
GA,Atlanta,2021,3,80296.0,False,79603.0,68824.0,89968.66666666667,79279.83333333333,135.0
GA,Atlanta,2021,4,106741.0,False,80296.0,28459.0,84572.66666666667,80235.83333333333,139.0
GA,Atlanta,2021,5,131861.0,False,106741.0,70733.0,88880.0,86759.33333333333,112.0
GA,Atlanta,2021,6,114787.0,True,131861.0,57918.0,106299.33333333333,91853.33333333333,157.0
GA,Atlanta,2021,7,99837.0,True,114787.0,80646.0,117796.33333333333,96592.41666666667,137.0
GA,Atlanta,2021,8,97325.0,True,99837.0,69192.0,115495.0,98191.66666666667,130.0
GA,Atlanta,2021,9,97984.0,False,97325.0,74375.0,103983.0,100536.08333333333,126.0
GA,Atlanta,2021,10,73764.0,False,97984.0,113563.0,98382.0,102503.5,133.0
GA,Atlanta,2021,11,69684.0,False,73764.0,117742.0,89691.0,99186.91666666667,110.0
