"AVERAGE_DEW_POINT_F___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_RELATIVE_HUMIDITY_____FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_SEA_LEVEL_PRESSURE_MILLIBARS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_VISIBILITY_KILOMETERS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","AVERAGE_WIND_SPEED_KNOTS___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","CITY_LOCATION_IDENTIFIER__UP_TO_9_ALPHANUMERIC_CHARACTERS_","COOLING_DEGREE_DAYS_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","HEATING_DEGREE_DAYS_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","MAXIMUM_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","MINIMUM_TEMPERATURE_C___FLOAT_VALUE_TO_NEAREST_HUNDREDTHS_PLACE","PRECIPITATION_INTEGER_IN_HUNDREDTHS_OF_A_MILLIMETER___LIQUID_EQUIVALENT____0__IS_USED_FOR_TRACE_AMOUNTS_AND___1__IS_USED_FOR_NO_PRECIPITATION","VALID_DATE_AS_YYYYMMDD"
18.72,86.61,1015.9,20.5,0,3.72,"KDLP",2.3959,0,23.27,19.04,86.4,"2020-12-13"
6.33,22.7766,1006.13,31.54,0,4.734,"KQGX",12.9381,0,39.78,22,-1,"2023-05-01"
2.81,83.8586,1031.17,4.57,14.9058,1.29,"KBVY",0,14.3117,6.82,0.71,44,"2023-12-24"
10.74,65.5718,1008.85,15.5,16.261,4.09,"KSTF",0,2.3533,20,12.2,860,"2024-02-23"
17.32,69.188,1006.45,23.6,16.4112,8.38,"KFDK",4.9115,0,27.2,19.5,27.5,"2023-06-12"
-19.83,65.9309,1010.52,-13.1,15.147,5.489,"KTEX",0,31.2914,1.6,-28.7,-1,"2020-02-05"
17.26,63.5154,1012.92,29.84,15.778,13.717,"KEHA",11.4433,0,40,19.19,76,"2024-08-08"
-2.27,21.22,1035.27,20,16.1,4.39,"KTEX",2.1049,0,27.5,13.2,41.4,"2023-07-24"
-1.69,59.1822,1018.3,6.21,16.905,7.249,"KVIH",0,12.4644,14.19,-2.17,-1,"2024-02-05"
-12.89,77.4081,1008.15,-8.01,14.4534,11.088,"KOLF",0,26.14,1.41,-16.72,-1,"2023-02-28"
19.61,66.2805,1019.68,26.6,15.7692,7.992,"KLAL",7.7472,0,31,21.4,-1,"2020-10-17"
22.6,72.9537,1013.36,28.75,16.905,2.079,"KJDD",9.519,0,34.1,22.3,-1,"2021-08-27"
20.56,76.1736,1010.85,25.56,14.9962,6.248,"KPIA",7.1478,0,30.2,21.01,812,"2023-07-15"
